№ з/п,"Набори даних, які підлягають оприлюдненню у формі відкритих даних",Розпорядник інформації,посилання на opedata.kremen.gov.ua
1,"Довідник підприємств, установ (закладів) та організацій розпорядника інформації та підпорядкованих йому організацій, у тому числі їх ідентифікаційних кодів, офіційних веб-сайтів, адрес електронної пошти, телефонів та адрес",Управління міського майна,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%BE%D0%B2%D1%96%D0%B4%D0%BD%D0%B8%D0%BA-%D0%BF%D1%96%D0%B4%D0%BF%D1%80%D0%B8%D1%94%D0%BC%D1%81%D1%82%D0%B2-%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2-%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D1%96%D0%B2-%D1%82%D0%B0-%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D1%96%D0%B7%D0%B0%D1%86%D1%96%D0%B9-%D0%B7%D0%B0%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%BE%D0%BC-%D1%8F%D0%BA%D0%B8%D1%85-%D1%94-%D0%BA%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D1%87%D1%83%D1%86%D1%8C%D0%BA%D0%B0-%D0%BC%D1%96%D1%81%D1%8C%D0%BA%D0%B0
2,Інформація про організаційну структуру розпорядника інформації,Відділ інформаційно-комп'ютерних технологій,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D1%96%D0%B7%D0%B0%D1%86%D1%96%D0%B9%D0%BD%D1%83-%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D1%83-%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%B2%D1%87%D0%BE%D0%B3%D0%BE-%D0%BA%D0%BE%D0%BC%D1%96%D1%82%D0%B5%D1%82%D1%83
3,"Нормативи, що затверджуються та підлягають оприлюдненню відповідно до закону розпорядником інформації","ДЖКГ, Енергоменеджмент.  Управління земельних ресурсів",https://opendata.kremen.gov.ua/dataset/%D0%BD%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2%D0%B8-%D1%89%D0%BE-%D0%B7%D0%B0%D1%82%D0%B2%D0%B5%D1%80%D0%B4%D0%B6%D1%83%D1%8E%D1%82%D1%8C%D1%81%D1%8F-%D1%82%D0%B0-%D0%BF%D1%96%D0%B4%D0%BB%D1%8F%D0%B3%D0%B0%D1%8E%D1%82%D1%8C-%D0%BE%D0%BF%D1%80%D0%B8%D0%BB%D1%8E%D0%B4%D0%BD%D0%B5%D0%BD%D0%BD%D1%8E-%D0%B2%D1%96%D0%B4%D0%BF%D0%BE%D0%B2%D1%96%D0%B4%D0%BD%D0%BE-%D0%B4%D0%BE-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%83-%D1%80%D0%BE%D0%B7%D0%BF%D0%BE%D1%80%D1%8F%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%BC-91
4,"Звіти, в тому числі щодо задоволення запитів на інформацію","Управління по роботі з документами, всі розпорядники",https://opendata.kremen.gov.ua/dataset/%D0%B7%D0%B2%D1%96%D1%82-%D0%BF%D1%80%D0%BE-%D1%80%D0%BE%D0%B7%D0%B3%D0%BB%D1%8F%D0%B4-%D0%B7%D0%B0%D0%BF%D0%B8%D1%82%D1%96%D0%B2-%D0%BD%D0%B0-%D0%B4%D0%BE%D1%81%D1%82%D1%83%D0%BF-%D0%B4%D0%BE-%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D1%87%D0%BD%D0%BE%D1%97-%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%97-%D1%83-%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%B2%D1%87%D0%BE%D0%BC%D1%83-%D0%BA%D0%BE%D0%BC%D1%96%D1%82%D0%B5%D1%82%D1%96-1
5,"Інформація про систему обліку, види інформації, яка зберігається розпорядником","Управління по роботі з документами, всі розпорядники. В наявності лише API",https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%83-%D0%BE%D0%B1%D0%BB%D1%96%D0%BA%D1%83-%D0%B2%D0%B8%D0%B4%D0%B8-%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%97-%D1%8F%D0%BA%D0%B0-%D0%B7%D0%B1%D0%B5%D1%80%D1%96%D0%B3%D0%B0%D1%94%D1%82%D1%8C%D1%81%D1%8F-%D1%80%D0%BE%D0%B7%D0%BF%D0%BE%D1%80%D1%8F%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%BC-4 
6,"Реєстр наборів даних, що перебувають у володінні розпорядника інформації","Управління по роботі з документами, всі розпорядники",https://opendata.kremen.gov.ua/dataset/%D1%80%D0%B5%D1%94%D1%81%D1%82%D1%80-%D0%BD%D0%B0%D0%B1%D0%BE%D1%80%D1%96%D0%B2-%D0%B4%D0%B0%D0%BD%D0%B8%D1%85-%D1%89%D0%BE-%D0%BF%D0%B5%D1%80%D0%B5%D0%B1%D1%83%D0%B2%D0%B0%D1%8E%D1%82%D1%8C-%D1%83-%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4%D1%96%D0%BD%D0%BD%D1%96-%D1%80%D0%BE%D0%B7%D0%BF%D0%BE%D1%80%D1%8F%D0%B4%D0%BD%D0%B8%D0%BA%D0%B0-%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%97-7 
7,"Адміністративні дані, що збираються (обробляються) та підлягають оприлюдненню відповідно до вимог закону, розпорядника інформації",Управління економіки,https://opendata.kremen.gov.ua/dataset/%D0%B0%D0%B4%D0%BC%D1%96%D0%BD%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D1%96-%D0%B4%D0%B0%D0%BD%D1%96-%D0%B2-%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%BD%D1%96-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%83-%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8-%D0%BF%D1%80%D0%BE-%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D1%83-%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D1%83-%D1%89%D0%BE-%D0%B7%D0%B1%D0%B8%D1%80%D0%B0%D1%8E%D1%82%D1%8C%D1%81%D1%8F
8,"Нормативно-правові акти, акти індивідуальної дії (крім внутрішньоорганізаційних), прийняті розпорядником інформації, проекти рішень, що підлягають обговоренню, інформація, визначена законодавством про засади регуляторної політики",,https://opendata.kremen.gov.ua/dataset/%D0%BD%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D0%B2%D1%96-%D0%B0%D0%BA%D1%82%D0%B8-%D0%B0%D0%BA%D1%82%D0%B8-%D1%96%D0%BD%D0%B4%D0%B8%D0%B2%D1%96%D0%B4%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B4%D1%96%D1%97-%D0%BA%D1%80%D1%96%D0%BC-%D0%B2%D0%BD%D1%83%D1%82%D1%80%D1%96%D1%88%D0%BD%D1%8C%D0%BE%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D1%96%D0%B7%D0%B0%D1%86%D1%96%D0%B9%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%B8%D0%B9%D0%BD%D1%8F%D1%82%D1%96
9,Інформація про нормативно-правові засади діяльності,Управління по роботі з документами/Управління забезпечення діяльності ради,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D0%BD%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D0%B2%D1%96-%D0%B7%D0%B0%D1%81%D0%B0%D0%B4%D0%B8-%D0%B4%D1%96%D1%8F%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%96-1
10,Фінансова звітність суб’єктів господарювання державного сектору економіки,"Управління бухгалтерського обліку та звітності, всі розпорядники",https://opendata.kremen.gov.ua/dataset/%D1%84%D1%96%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B7%D0%B2%D1%96%D1%82%D0%BD%D1%96%D1%81%D1%82%D1%8C-%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%B2%D1%87%D0%BE%D0%B3%D0%BE-%D0%BA%D0%BE%D0%BC%D1%96%D1%82%D0%B5%D1%82%D1%83-%D0%BA%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D1%87%D1%83%D1%86%D1%8C%D0%BA%D0%BE%D1%97-%D0%BC%D1%96%D1%81%D1%8C%D0%BA%D0%BE%D1%97-%D1%80%D0%B0%D0%B4%D0%B8
